name_id,name_brand,name_words,name_cos,name_descriptives,name_units,name_numbers,short_description_id,short_description_brand,short_description_words,short_description_cos,short_description_descriptives,short_description_units,short_description_numbers,long_description_cos,long_description_descriptives,long_description_units,long_description_numbers,specification_text_units,specification_text_numbers,all_texts_id,all_texts_brand,all_texts_words,all_texts_cos,all_texts_descriptives,all_texts_units,all_texts_numbers,all_units_list,all_ids_list,all_numbers_list,all_brands_list,specification_key_matches,specification_key_value_matches,hash_similarity,match
0,0,-0.555555556,0.313282766,-0.88,0,0,0.333333333,0,-0.410526316,-0.23427045,-0.4,0.6,0,-0.382105413,-0.52,0.666666667,0.846153846,0.762711864,0.8125,0,0,0,0,0,0,0,0.821428571,0.333333333,0.741935484,0,0.242424242,0.075757576,21.4375,0
0,0,-0.636363636,-0.762985263,-0.96,0,0,0,0,-0.428571429,-0.388205752,-0.48,0,0.333333333,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0.913043478,0,0.818181818,0,0,0,0,0
0,1,-0.6,-0.490280786,-0.96,0,0,0,-1,-0.658536585,-0.746813546,-0.68,0,0,-0.339427323,-0.64,0.655172414,0.757575758,0.538461538,0,0,0,0,0,0,0,0,0.795918367,0,0.783783784,0.333333333,0.3125,0.1875,0,0
1,1,0.052631579,0.551397854,-0.76,0,0,-1,-1,-0.8125,-0.776817431,-0.92,0,0,-0.654380511,-0.76,0.724137931,0.871794872,0.8,0,0,0,0,0,0,0,0,0.733333333,0.5,0.85106383,0.333333333,0.055555556,0,0,1
0,0,0.6,0.740803191,-0.72,0.333333333,0,0,0,-0.416666667,-0.214002884,-0.64,0,0,-0.136059854,-0.6,0.2,0,0,0,0,0,0,0,0,0,0,0.846153846,0,0,0,0,0,0,0
0,0,-0.2,-0.459493461,-0.76,0,0.6,-1,0,-0.370786517,-0.448868326,-0.44,0,0,0.031535902,-0.32,0,0,0.555555556,0,0,0,0,0,0,0,0,0.882352941,0,0.870967742,0,0.173913043,0.130434783,0,0
-1,0,-0.714285714,-0.402945762,-0.88,0,0,-1,0,-0.683168317,-0.751623675,-0.72,0.714285714,0,-0.147017321,-0.32,0.290322581,0.866666667,0.636363636,0,0,0,0,0,0,0,0,0.87755102,0,0.826086957,0,0.157894737,0.105263158,0,0
0,0,-0.142857143,0.371882775,-0.8,0,0,0,0,-0.555555556,-0.606211224,-0.56,0,0,-0.517035153,-0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0.090909091,0,1
0,0,0.818181818,0.713271627,-0.8,0,0,0,0,-0.737704918,-0.76300344,-0.84,0,0,-0.334756966,-0.56,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,17.375,1
0,0,0.4,0.428451083,-0.72,0,0.5,0,0,-0.483870968,-0.389699132,-0.84,0,0,0.316134035,-0.56,0.166666667,0.714285714,0,0,0,0,0,0,0,0,0,0.9,0,0.80952381,0,0,0,0,0
0,0,0.454545455,0.508772249,-0.8,0,0,0,0,-0.709090909,-0.536894606,-0.84,0,0,-0.177107386,-0.56,-0.333333333,0,0.5,0,0,0,0,0,0,0,0,0.913043478,0,0,0,0.090909091,0.090909091,0,0
0,0,-0.111111111,0.024978016,-0.92,0,0,0,0,-0.575757576,-0.699156368,-0.68,0.666666667,0,-0.256945574,-0.52,0,0,0.5,0.2,0,0,0,0,0,0,0,0.655172414,0,0.764705882,0,0.28,0.16,50.625,1
0,0,-1,-0.358800249,-0.92,0,0,-1,1,-0.101449275,-0.415933617,-0.48,0.142857143,0,-0.102566774,-0.16,-2.466666667,0.9375,0,0,0,0,0,0,0,0,0,0.886792453,0,0.875,0.714285714,0,0,0,0
0,0,0.333333333,0.433128714,-0.88,0,0,0,0,-0.50877193,-0.613134855,-0.64,0,0,-0.322396435,-0.24,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1
0,1,0.333333333,-0.087887257,-0.76,0,0,-1,-1,-0.586206897,-0.734418893,-0.68,0,0,-0.135726426,-0.4,0,0.75,0.913043478,0,0,0,0,0,0,0,0,0.777777778,0,0.793103448,0.5,0.346153846,0.038461538,0,0
0,0,0.777777778,0.815547088,-0.64,0,0,0,0,-0.584415584,-0.640612085,-0.8,0.333333333,0,-0.059629744,-0.44,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.166666667,0,25.5625,0
-1,1,0,0.087486225,-0.88,0,0,0,0,-0.513513514,-0.713173955,-0.64,0.5,0,-0.389736024,-0.72,0,0,0.75,0,0,0,0,0,0,0,0,0.739130435,0,0,0,0.111111111,0.111111111,0,0
0,0,0.411764706,0.004596372,-0.76,0,0,0,0,-0.489361702,-0.619507954,-0.56,0,0,-0.506411846,-0.36,0.714285714,0.703703704,0.7,0,0,0,0,0,0,0,0,0.72972973,0,0.684210526,0,0.45,0.15,0,1
0,0,0.2,0.278028904,-0.88,0,0,0,0,-0.793103448,-0.603574292,-0.8,0,0,-0.082282641,-0.4,-0.076923077,0,0,0,0,0,0,0,0,0,0,0.8,0,0.925925926,0,0,0,0,1
0,1,0.411764706,-0.0913783,-0.76,0,0,-1,-1,-0.58974359,-0.685908442,-0.6,0,0,-0.302566837,-0.6,0,0.764705882,0.523809524,0.714285714,0,0,0,0,0,0,0,0.588235294,0,0.764705882,0.5,0.375,0.083333333,0,0
-1,0,-0.238095238,-0.338689571,-0.84,0,0,0,0,-0.611111111,-0.616113727,-0.56,0,0,-0.382628454,-0.6,0.764705882,0.882352941,0.739130435,0,0,0,0,0,0,0,0,0.911111111,0,0.862068966,0,0.346153846,0.038461538,0,0
0,1,0.333333333,0.687564893,-0.92,0,0,-1,-1,-0.315508021,-0.479739762,-0.88,0.5,0.857142857,-0.17555002,-0.36,-1.838709677,0.75,0.555555556,0.692307692,0,0,0,0,0,0,0,0.815789474,0,0.777777778,0.5,0.21875,0,0,1
0,0,0.777777778,0.834227748,-0.64,0,0,0,0,-0.829787234,-0.662557574,-0.88,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333,0,0
-1,0,0.090909091,0.101006247,-0.88,0,0,0,0,-0.818181818,-0.296666645,-0.92,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,-0.333333333,-0.312176464,-0.88,0,0,-0.2,0,-0.397849462,-0.404993516,-0.36,0.714285714,0,-0.334266403,-0.48,0.571428571,0.870967742,0.947368421,0.724137931,0,0,0,0,0,0,0,0.825,0.6,0.671641791,0.5,0.079365079,0.015873016,0,0
-1,0,0.666666667,0.641257563,-0.8,0,0,0,0,-0.612903226,-0.713408886,-0.64,0,0,-0.95527911,-1,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.636363636,0,0,0,0,0
0,0,-0.5,-0.29834399,-0.92,0,0,0,0,-0.701492537,-0.839474455,-0.8,0.75,0,-0.783117871,-0.88,0.6,0.777777778,0.6,0,0,0,0,0,0,0,0,0.642857143,0,0.8,0,0.4,0.266666667,0,0
0,0,-0.666666667,-0.663252102,-0.96,0,0,0,0,-0.652173913,-0.764159735,-0.68,0,0,0.050653778,-0.16,0.7,0.777777778,0.652173913,0,0,0,0,0,0,0,0,0.659574468,0,0.714285714,0,0.363636364,0.045454545,0,0
0,0,0.4,0.532481065,-0.64,0,0,0,0,-0.510204082,-0.600081771,-0.76,0,0.333333333,0.398044986,0.12,-0.028571429,0.441176471,0.333333333,0,0,0,0,0,0,0,0,0.238095238,0,0.512195122,0,0.117647059,0,8.25,1
0,0,0.454545455,0.445314826,-0.84,0,0,0,0,-0.5,-0.553155623,-0.88,0,0,-0.31129205,-0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3125,1
0,0,0.538461538,0.46186755,-0.8,0,0,0,0,-0.294117647,-0.380442581,-0.68,0,0.6,0.176142786,-0.08,0.5,0.714285714,0,0,0,0,0,0,0,0,0,0.4,0,0.555555556,0,0,0,0,1
0,1,-0.333333333,-0.641764255,-0.96,0,0,-1,-1,-0.117241379,-0.415852267,-0.56,0.142857143,0.75,-0.267420501,-0.52,-2.529411765,0.764705882,0.657142857,0.739130435,0,0,0,0,0,0,0,0.87012987,0,0.692307692,0.555555556,0.21875,0.03125,0,0
0,0,0.6,0.694057746,-0.76,0,0,0,0,-0.294117647,-0.083088024,-0.88,0,0,0.633525903,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1875,0
0,1,0.454545455,0.495690615,-0.84,0,0,-1,-1,-0.743589744,-0.687870317,-0.72,0.75,0,-0.637465605,-0.6,0.2,0.333333333,0,0,0,0,0,0,0,0,0,0.555555556,0,0.818181818,0.5,0,0,0,1
0,0,1,1,-0.8,0,0,0,0,-0.714285714,-0.56054051,-0.84,0.333333333,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,1
0,0,-0.714285714,-0.735245207,-0.96,0,0,0,0,-0.904761905,-0.649315309,-0.96,0,0,-0.330155681,-0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
0,0,0.846153846,0.822183342,-0.76,0,0,0,0,-0.8,0.166425852,-0.92,0,0,-0.022743364,-0.6,0.714285714,0.846153846,0,0,0,0,0,0,0,0,0,0.636363636,0,0.857142857,0,0,0,0,0
0,0,-0.6,-0.139912165,-0.92,0,0,-1,0,-0.466666667,-0.688697561,-0.56,0,0,-0.359026215,-0.56,0,0,0.966101695,0.9375,0,0,0,0,0,0,0,0.927927928,0,0.852941176,0,0.227272727,0.045454545,46.5,0
-1,0,-0.076923077,-0.203925733,-0.88,0,0.5,0,0,-0.538461538,-0.677898373,-0.64,0,0,-0.560632818,-0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0,0,0,0,0
0,0,-0.272727273,-0.338591389,-0.92,0,0,0,0,-0.615384615,-0.74806423,-0.72,0,0,-0.120520048,-0.52,0.5,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0
0,0,0.176470588,0.032691522,-0.8,0,0,-1,0,-0.745454545,-0.75776147,-0.8,0,0,-0.228844939,-0.56,0.4,0.818181818,0,0,0,0,0,0,0,0,0,0.793103448,0,0.714285714,0,0.043478261,0,0,0
