id1,id2,name1,name2,match_type,match,predicted_match1,predicted_match2,predicted_match3,predicted_match_merged
https://www.alza.cz/hobbykrt501005-oboustranny-klic-otevreny-14x15-175mm-d6775050.htm,https://www.mall.cz/ostatni-rucni-naradi/kreator-krt501006-oboustranny-klic-otevreny-16x17-190mm-100019870934,KRT501005 - Oboustranný klíč otevřený 14x15 -175mm,Kreator KRT501006 - Oboustranný klíč otevřený 16x17 -190mm,close_nonmatch,0,0,0,0,0
https://www.alza.cz/orion-brcko-napojove-nerez-18cm-4ks-vcetne-kartacku-d5628856.htm,https://www.mall.cz/napojova-brcka/orion-brcko-nerez-napojove-4-ks-215-cm-kartacek,ORION Brčko nápojové nerez 18cm 4ks včetně kartáčku,"Orion Brčko nerez nápojové 4 ks 21,5 cm + kartáček",close_nonmatch,0,0,0,1,0
https://www.alza.cz/whirlpool-art-9811-sf2-d6223487.htm,https://www.mall.cz/vestavne-lednicky/whirlpool-art-66112,"WHIRLPOOL ART 9811 SF2
+ 5 let záruka na kompresor po registraci",Whirlpool vestavná lednička ART 66112,medium_nonmatch,0,0,0,0,0
https://www.alza.cz/hobbyulozna-lavice-s-poduskou-148-cm-masivni-akaciove-drevo-d6433285.htm,https://www.mall.cz/zahradni-lavice-pohovky/shumee-ulozna-lavice-s-poduskou-170-cm-masivni-akaciove-drevo-100019161777,Úložná lavice s poduškou 148 cm masivní akáciové dřevo,shumee Úložná lavice s poduškou 170 cm masivní akáciové dřevo,close_nonmatch,0,0,0,0,0
https://www.alza.cz/dell-vostro-5581?dq=6911955,https://www.mall.cz/notebooky/dell-vostro-15-5510-seda-jmtc6-100069293479?tab=parameters,Dell Vostro 5510,"DELL Vostro 15 (5510), šedá (JMTC6)",close_nonmatch,0,1,1,1,1
https://www.alza.cz/hobbyfiskars-vidle-solid-kompostove-133433-d2920786.htm,https://www.mall.cz/ryce-vidle/fiskars-vidle-solid-kompostove-133433,Fiskars Vidle Solid kompostové,"Fiskars Vidle SOLID kompostové (133433), záruka 5 let",close_nonmatch,0,1,1,1,1
https://www.alza.cz/hobbykrt619005-ocelova-hmozdinka-5ks-4x46mm-d6775291.htm,https://www.mall.cz/ostatni-rucni-naradi/kreator-krt619004-ocelova-hmozdinka-5ks-4x38mm-100019870988,KRT619005 - Ocelová hmoždinka 5ks - 4x46mm,Kreator KRT619004 - Ocelová hmoždinka 5ks - 4x38mm,close_nonmatch,0,0,0,0,0
https://www.alza.cz/hobby6dilna-zahradni-sedaci-souprava-z-palet-podusky-borove-drevo-3066359-d6759051.htm,https://www.mall.cz/sety-nabytek/shumee-6dilna-zahradni-sedaci-souprava-z-palet-podusky-borove-drevo-100059456662,6dílná zahradní sedací souprava z palet + podušky borové dřevo 3066359,shumee 6dílná zahradní sedací souprava z palet + podušky borové dřevo,match,1,1,1,1,1
https://www.alza.cz/denver-bte-110b-d5593511.htm,https://www.mall.cz/sluchatka-usi/denver-bte-110-seda,Denver BTE-110 šedá,"Denver BTE-110 bezdrátová sluchátka, šedá",match,1,0,0,1,0
https://www.alza.cz/48-philips-48oled936-d6469253.htm,https://www.mall.cz/televizory/philips-48oled93512,"48"" Philips 48OLED936",Philips 48OLED935/12,close_nonmatch,0,0,0,0,0
https://www.alza.cz/hobbyvavex-tapeta-jf2401-d6634170.htm,https://www.mall.cz/dekorace-tapety-zed/vavex-vliesova-tapeta-imitace-stipaneho-bambusu-jf2402-botanica-geometry-vavex-100036179280,VAVEX tapeta JF2401,"Vavex Vliesová tapeta, Imitace štípaného bambusu JF2402, Botanica, Geometry, Vavex",close_nonmatch,0,0,0,0,0
https://www.alza.cz/tefal-doza-0-8-l-master-seal-color-n1012610-ruzova-d6779501.htm,https://www.mall.cz/potraviny-dozy/tefal-master-seal-color-doza-na-potraviny-ruzova-08-l-n1012610?src=sug&s=Tefal%20Dóza%200.8%20l%20Master%20Seal%20Color%20N1012610,Tefal Dóza 0.8 l Master Seal Color N1012610 růžová,"Tefal Master Seal Color dóza na potraviny růžová 0,8 l N1012610",match,1,1,1,1,1
https://www.alza.cz/petshumee-psi-matrace-cerna-xl-d6747798.htm,https://www.mall.cz/psi-pelisky/shumee-psi-matrace-velikost-xl-cerna-100017945647,Shumee Psí matrace černá XL,shumee Psí matrace velikost XL černá,close_nonmatch,0,1,1,1,1
https://www.alza.cz/honor-magic-earbuds-bila-d5813421.htm,https://www.mall.cz/true-wireless-sluchatka/honor-magic-earbuds-55032516-bile,Honor Magic Earbuds bílá,"Honor Magic Earbuds 55032516, bílé",match,1,0,0,1,0
https://www.alza.cz/evolveo-strongphone-g5-cerna-d5852688.htm,https://www.mall.cz/mobilni-telefony/evolveo-strongphone-g7-3g32gb-cerny,EVOLVEO StrongPhone G5 černá,"Evolveo StrongPhone G7, 3G/32GB, černý",close_nonmatch,0,0,0,0,0
https://www.alza.cz/amica-vd-1441-aww-d4590264.htm,https://www.mall.cz/volne-stojici-lednicky/amica-vd-1442-ay,AMICA VD 1441 AWW,Amica retro lednice VD 1442 AY,medium_nonmatch,0,0,0,0,0
https://www.alza.cz/candy-cfo-050-e-d2892134.htm,https://www.mall.cz/volne-stojici-lednicky/candy-cfo-050-e,CANDY CFO 050 E,Candy lednice CFO 050 E,match,1,1,1,1,1
https://www.alza.cz/hobbyg21-popelnice-ga-240-cervena-d4980655.htm,https://www.mall.cz/hasici-pristroje/g21-popelnice-ga-240-l-cervena-ga-240-r-100017923620,G21 Popelnice GA-240 červená,G21 Popelnice GA-240 L Červená GA-240-R,match,1,0,0,0,0
https://www.alza.cz/55-jvc-lt-55vu6105-d6757153.htm,https://www.mall.cz/televizory/jvc-lt-55vu3105,"55"" JVC LT-55VU6105",JVC LT-55VU3105,close_nonmatch,0,0,0,0,0
