id1,id2,name_id,name_brand,name_words,name_cos,name_descriptives,name_units,name_numbers,short_description_id,short_description_brand,short_description_words,short_description_cos,short_description_descriptives,short_description_units,short_description_numbers,long_description_cos,long_description_descriptives,long_description_units,long_description_numbers,all_texts_id,all_texts_brand,all_texts_words,all_texts_cos,all_texts_descriptives,all_texts_units,all_texts_numbers,all_units_list,all_ids_list,all_numbers_list,all_brands_list,specification_key_matches,specification_key_value_matches,match
3788,7788,0.0,0.0,-0.36,-0.4352441451374668,-0.84,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-0.9533823321188767,-0.96,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1276,5276,0.0,1.0,-0.8,-0.7745912851433501,-0.92,0.0,0.0,0.0,1.0,-0.8181818181818181,-0.8198023267595779,-0.8,0.0,0.0,-0.7194514571029202,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.9767441860465116,0.5,0,0,0
3739,7739,-1.0,0.0,-0.7777777777777778,-0.9158682467336628,-0.96,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-0.6672150006457132,-0.96,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
2446,6446,0.0,0.0,-0.7647058823529411,-0.8037676692385937,-0.88,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-0.9756451202990041,-0.96,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.9473684210526315,0.0,0,0,0
2552,6552,0.0,0.0,-0.6363636363636364,-0.6813914718285863,-0.88,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-0.9470924120053078,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
3661,7661,0.0,0.0,0.8461538461538463,0.7303938834816477,-0.76,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.42644086799694425,-0.56,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
2637,6637,0.0,0.0,-0.09090909090909094,-0.22699155522064063,-0.8,0.0,0.0,0.0,0.0,-0.5876288659793815,-0.3195476053442238,-0.8,0.0,0.0,-0.026039395797417653,-0.28,0.0,0.38461538461538464,0,0,0,0,0,0,0,0.0,0.0,0.5294117647058824,0.0,0,0,1
1329,5329,0.0,0.0,-0.8571428571428572,-0.9233232504757731,-0.92,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-0.9433772676201728,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1359,5359,0.0,0.0,-0.6666666666666667,-0.7348373526321734,-0.92,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-0.5356643467553994,-0.72,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
3220,7220,0.0,1.0,0.09090909090909083,0.3075136965722689,-0.84,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-0.3294663987750648,-0.48,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0,0,1
